e1,e99,e96,e44,e14,e76,e88,e55,e15,e78,,
e66,-1,e31,e53,e75,e21,e28,e87,e100,e26,e78,
e88,e97,e48,e81,e40,e87,e98,e91,e68,e86,,
e41,e44,e24,e37,e99,e97,e75,e40,e57,e71,,
e70,e10,e45,e90,e81,e53,e2,e67,-1,e27,e35,
e48,e96,e51,e99,e25,e28,e92,e35,e81,e29,,
e6,e37,e74,e24,e89,e25,e67,e71,e36,-1,e15,
e24,e88,e21,e54,e47,e75,e1,e72,e22,e15,,
e86,e27,e72,e100,e80,e18,e79,e62,e92,-1,-1,e97
e26,e69,e28,e62,e20,e73,e48,e9,e96,e46,,
e82,e32,e57,e56,e100,e42,e96,e51,e48,e58,,
e11,e93,e63,e8,e2,e79,e58,e46,e39,e44,,
e60,e78,e4,e63,e8,e17,e87,e69,e79,-1,e47,
e7,e11,e17,e12,e36,e59,e20,e88,e47,e83,,
e16,e74,e77,e76,e62,e84,e99,e28,e30,e18,,
e39,e72,e52,e6,e35,e32,e12,e85,e38,-1,e55,
e30,e75,e34,e16,e33,e52,e81,e98,e94,e68,,
e3,e16,e85,e19,e27,e23,e6,e10,e20,-1,e48,
e91,e40,e69,e3,e4,e61,e85,e45,e88,e48,,
e47,e56,e39,e51,e37,e99,e8,e63,e65,e22,,
e54,e73,e84,e33,e48,e91,e69,e2,e77,e43,,
e92,e58,e23,e88,e52,e39,e45,e89,e72,-1,e2,
e81,e82,e50,e27,e32,e8,e94,e84,e33,e66,,
e18,e14,e83,e42,e19,e89,e36,e95,e63,e35,,
e22,e89,e19,e2,e11,e85,e73,e31,e49,-1,e97,
e61,e19,e91,e57,e94,e100,e25,e42,e70,-1,e18,
e14,e52,e54,e20,e26,e48,e63,e80,e55,e50,,
e10,e54,e42,e41,e79,e1,e100,e94,e19,-1,-1,e15
e19,e34,e80,e55,e68,e40,e44,e56,e21,-1,e49,
e76,e22,e98,e94,e43,e96,e56,e14,e18,e97,,
e97,e47,e33,e14,e92,e6,e19,e68,e40,e60,,
e52,e39,e25,e58,e42,e88,e83,e65,e80,-1,e8,
e59,e100,e3,e69,e87,e70,e18,e97,e66,-1,e37,
e100,e17,e82,e93,e59,e46,e52,e18,e28,e14,,
e43,e13,e100,e40,e22,e24,-1,e25,e52,e28,e62,
e94,e57,e38,e43,e93,e3,e66,e92,e54,e30,,
e33,e51,e66,e31,e54,e14,e74,e57,e7,e72,,
e46,e31,e64,e48,e34,e15,e59,e77,e85,e67,,
e20,e53,e37,e52,e21,e33,e51,e38,e69,e2,,
e79,e64,e30,e25,e95,e19,e33,e22,e12,e69,,
e67,e71,e93,e59,e91,e82,e95,e5,e84,e33,,
e17,e43,e7,e98,e63,e58,e53,e75,e97,e41,,
e2,e29,e76,e72,e86,e68,e10,e58,e31,e37,,
e83,e45,e41,e73,e1,e30,e68,e8,e35,e11,,
e15,e60,e59,e30,e98,e5,e14,e54,e46,e47,,
e57,e80,e43,e11,e38,e12,e97,e79,-1,e49,e54,
e42,e41,e14,e5,e53,e47,e62,e49,e29,e36,,
e69,e86,e8,e47,e9,e56,e21,e1,e45,e99,,
e53,e6,e1,e9,e88,e26,e71,e19,e87,e8,,
e9,e30,e6,e66,e7,e63,e77,e86,e27,e55,,
