e5,e50,e24,e33,e96,e98,e15,e91,e34,e64,e46,e1,e72,e92,e97,e49,e38,e26,e68,e94,e40,e18,e8,e10,e62,e87,e73,e81,e77,e48,e19,e65,e55,e25,e11,e60,e100,e99,e51,e82,e95,e35,e39,e83,e70,e84,e90,e58,e21,e2,e78,e89,e22,e86,e14,e42,e75,e13,e7,e20,e43,e29,e69,e17,e54,e67,e30,e37,e88,e76,e41,e74,e36,e31,e12,e80,e16,e3,e28,e59,e93,e4,e45,e52,e53,e63,e71,e44,e66,e79,e47,e56,e9,e85,e57,e6,e61,e27,e32,e23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e77,e36,e87,e29,e10,e64,e32,e73,e13,e50,e56,e71,e5,e80,e92,e41,e44,e23,e40,e26,e46,e97,e49,e12,e94,e48,e70,e15,e4,e96,e24,e93,e47,e1,e38,e68,e63,e72,e98,e9,e85,e33,e34,e3,e37,e57,e91,e43,e45,-1,-1,-1,-1,-1,-1,e20,-1,-1,-1,e58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e6,-1,-1,-1,-1,-1,e8,-1,-1,e31,-1,e79,e62,-1,e78,e35,e90,e81,e65,e53,e28,e51,e89,e95,e76,e74,e66,e99,e61,e22,e86,e39,e60,e25,e16,e52,e42,e2,e27,e30,e69,e82,e11,e19,e59,e21,e88,e84,e18,e83,e100,e17,e7,e55,e67,e14,e54,e75,,,,,,,,,,,,,
e97,e13,e3,e98,e29,e49,e92,e38,e24,e34,e26,e41,e36,e9,e93,e80,e62,e32,e65,e57,e72,e91,e17,e6,e59,e99,e1,e51,e76,e52,e81,e86,e100,e90,e42,e11,e88,e89,e21,e78,e2,e20,e96,e70,e95,e77,e83,e46,e73,e53,e35,e22,e28,e14,e58,e85,e71,e66,e15,e64,e10,e44,e30,e68,e16,e54,e19,e84,e39,e74,e75,e33,e40,e12,e43,e79,e18,e4,e23,e56,e94,e5,e60,e48,e69,e45,e55,e82,e47,e87,e67,e61,e8,e50,e63,e27,e7,e37,-1,e25,e31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e54,e2,e94,e89,e79,e66,e72,e88,e60,e83,e81,e96,e87,e28,e27,e85,e47,e51,e21,e16,e1,e100,e38,e98,e52,e41,e42,e67,e86,e35,e8,e9,e75,e65,e62,e69,e7,e34,e70,e49,e84,e61,e91,e74,e10,e19,e29,e25,e71,e44,e46,e50,e39,e73,e23,e30,e12,e14,e97,e76,e36,e77,e55,e32,e63,e40,e24,e3,e53,e59,e20,e11,e57,e26,e93,e48,e37,e43,e22,e18,e95,e33,e80,e99,e15,e13,e45,e5,e92,e78,e56,e68,e90,e4,e6,e17,e64,e82,-1,e58,-1,e31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e44,e58,e92,e46,e49,e77,e45,e56,e32,e91,e15,e3,e12,e64,e67,e29,e71,e50,e20,e68,e6,e80,e73,e69,e36,e97,e40,e66,e62,e18,e17,e13,e63,e31,e7,e5,e53,e22,e82,e79,e99,e11,e51,e84,e85,e74,e16,e83,e42,e94,e87,e90,e21,e89,e27,e75,e88,e41,e57,e2,e81,e100,e70,e1,e19,e98,e39,e25,e54,e52,e35,e65,e37,e55,e72,e9,e24,e38,e96,e10,e23,e59,e93,e30,e34,e60,e14,e95,e48,e76,e78,e4,e26,e86,e61,e28,e33,e47,e43,e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e10,e53,e40,e4,e12,e71,e97,e61,e80,e87,e36,e38,e30,e3,e50,e26,e93,e76,e73,e45,e22,e90,e32,e91,e14,e98,e74,e46,e68,e24,e56,e62,e67,e15,e58,e92,e43,e48,e19,e33,e21,e51,e100,e63,e60,e82,e35,e42,e54,e83,e84,e95,e88,e79,e86,e78,e89,e99,e52,e16,e8,e27,e66,e2,e37,e17,e69,e59,e75,e25,e39,e57,e77,e13,e20,e6,e11,e23,e47,e96,e55,e81,e34,e9,e44,e65,e94,e18,e49,e72,e70,e85,e5,e31,e7,e64,e1,e29,e28,e41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,-1,e9,e72,-1,-1,e49,-1,e26,e93,-1,-1,e45,e13,e68,e77,e32,e24,e34,e44,e48,e85,e64,e63,e91,e92,e50,e23,e40,e80,e70,e36,e12,e97,e98,e73,e71,e33,e3,e29,e46,e10,e15,e56,e41,-1,-1,e100,e62,-1,e11,e8,e61,-1,e67,e31,e6,e27,e18,e79,e28,e7,e82,e53,e69,e19,e84,e60,e51,e16,e54,e25,e14,e66,e86,e58,e95,e30,e83,e37,e39,e43,e88,e2,e22,e38,e42,e4,e87,e75,e65,e94,e57,e35,e78,e21,e96,e17,e99,e89,e76,e59,e52,e74,e20,e5,e47,e81,e55,-1,e90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,e49,-1,-1,-1,e50,-1,e68,e56,e23,e27,e48,e46,e15,e11,e100,e40,e9,e45,e96,e64,e44,e3,e97,e92,e34,e87,e57,e72,e47,e12,e52,e91,e38,e32,e94,e5,e93,e80,e13,-1,-1,-1,e62,e4,e18,e6,e8,e17,e61,e59,-1,e55,e25,e82,e66,e74,e69,e81,e28,e42,e78,e79,e35,e83,e14,e20,e39,e86,e88,e99,e95,e89,e85,e53,e2,e76,e29,e58,e71,e43,e37,e21,e63,e67,e1,e70,e10,e41,e84,e36,e60,e30,e19,e22,e24,e16,e98,e26,e77,e51,e54,e73,e31,e7,e90,e65,e33,e75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e68,e23,e93,e44,e97,e32,e80,e12,e3,e92,e51,e60,e58,e19,e82,e88,e78,e73,e36,e89,e95,e24,e91,e15,e75,e2,e99,e50,e46,e42,e16,e83,e66,e13,e17,e54,e1,e63,e18,e48,e20,e8,e56,e45,e21,e49,e86,e64,e28,e67,e40,e29,-1,-1,e61,e62,e31,e25,e100,e37,e55,e52,e85,e59,e74,e11,e90,e43,e79,e84,e10,e4,e69,e53,e27,e87,e70,e57,e34,e41,e30,e9,e14,e47,e76,e98,e39,e71,e38,e26,e22,e77,e96,e81,e35,e94,e72,e6,e65,e33,e5,-1,e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,e33,e41,e85,e98,e70,e96,e53,e7,e72,e57,e74,e63,e30,e38,e34,e90,e84,e5,e61,e77,e1,e24,e14,e71,e26,e69,e76,e39,e36,e55,e37,e20,e79,e67,e43,e62,e35,e47,e59,e29,e73,e25,e22,e94,e87,e81,e4,e9,e31,e8,e65,e18,e10,-1,-1,-1,-1,-1,-1,-1,e17,e100,e82,-1,-1,e66,e28,e60,e78,e58,e54,e75,e83,e44,e86,e91,e92,e21,e27,e99,e48,e2,e49,e42,e88,e11,e12,e46,e51,e68,e89,e15,e45,e56,e13,e93,e19,e3,e16,e95,e97,e23,e52,e50,e80,e32,e64,e40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e75,e94,e88,e7,e66,e82,e41,e31,e84,e14,e33,e90,e85,e38,e71,e16,e83,e42,e1,e60,e61,e86,e27,e53,e28,e10,e95,e18,e54,e59,e87,e22,e79,e26,e8,e39,e47,e77,e96,e55,e4,e25,e98,e72,e69,e62,e76,e5,e2,e65,e9,e74,e67,e30,e99,e17,e70,e19,e51,e89,e100,e34,e21,e11,e57,e78,e45,e29,e43,e49,e32,e35,e56,e93,e68,e64,e46,e15,e37,e3,e36,e23,e13,e50,e40,e97,e80,e92,e12,e44,e63,e58,e24,e6,e52,e20,e73,e81,e48,-1,-1,-1,e91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e70,e5,e19,e77,e32,e56,e67,e47,e95,e86,e34,e29,e79,e63,e73,e87,e42,e20,e8,e92,e78,e27,e76,e35,e89,e57,e84,e38,e61,e10,e54,e43,e98,e21,e26,e50,e15,e69,e28,e41,e33,e49,e2,e44,e25,e96,e37,e48,e99,e30,e14,e94,e52,e64,e13,e23,e4,e68,e93,e90,e74,e65,e51,e46,e82,e1,e7,e62,e22,e40,e12,e16,e66,e58,e97,e24,e60,e88,e39,e80,e18,e75,e81,e100,e9,e17,e31,e6,e83,e55,e71,e36,e85,e11,e3,e53,e59,e45,e72,e91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e56,e40,e97,e23,e93,e12,e46,e45,e6,e57,e71,e80,e44,e72,e32,e1,e91,e92,e38,e69,e5,e26,e22,e87,e15,e63,e47,e30,e65,e98,e68,e55,e34,e36,e48,e33,e70,e20,e4,e39,e64,e50,e41,e13,e73,e67,e25,e10,e18,e24,e7,e17,e96,e59,e74,e79,e66,e84,e54,e51,e16,e90,e81,e100,e78,e60,e99,e76,e52,e42,e83,e14,e86,e89,e37,e75,e21,e9,e2,e43,e88,e95,e27,e61,e31,e28,e58,e11,e94,e49,e77,e82,e62,e3,e19,e85,e29,e53,e8,e35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e48,e46,e15,e63,e71,e73,e34,e80,e8,e6,e92,e36,e40,e66,e22,e44,e29,e25,e55,e43,e13,e28,e99,e59,e76,e39,e64,e37,e16,e95,e84,e78,e52,e89,e86,e58,e27,e51,e65,e2,e14,e21,e93,e23,e91,e75,e31,e67,e50,e49,e83,e7,e11,e62,e17,e68,e60,e97,e24,e61,e88,e42,e19,e77,e79,e82,e100,e32,e81,e18,e56,e69,e20,e30,e35,e12,e3,e53,e54,e45,e74,e90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e26,e72,e33,e9,e41,e57,e96,e87,e47,e70,e98,e94,e1,e10,e4,e38,e5,e85,,,,,,,,,,,,,,,,,,,,,,,,
e80,e10,e29,e3,e40,e85,e77,e16,e97,e36,e73,e24,e66,e51,e62,e18,e95,e28,e11,e54,e74,e31,e83,e22,e21,e75,e19,e84,e42,e88,e30,e90,e89,e57,e47,e27,e99,e98,e41,e50,e49,e37,e1,e9,e7,e71,e82,e23,e79,e69,e72,e61,e63,e33,e81,e2,e52,e59,e12,e45,e53,e15,e91,e43,e96,e32,e46,e65,e34,e48,e44,e64,e39,e92,e25,e70,e17,e13,e56,e58,e78,e20,e94,e14,e100,e8,e38,e60,e76,e6,e86,e93,e55,e5,e26,e67,e4,e35,e68,e87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
