e1,,,,,,,,,,,,,,
e23,e2,,,,,,,,,,,,,
e22,e24,e21,e11,e6,e3,,,,,,,,,
e4,,,,,,,,,,,,,,
,e5,,,,,,,,,,,,,
-1,e4,e22,e1,e13,e16,e23,e6,,,,,,,
-1,e20,e7,,,,,,,,,,,,
e7,,,,,,,,,,,,,,
-1,e18,e1,,,,,,,,,,,,
-1,e21,e12,e13,e1,e9,e3,e14,e5,e15,e19,e8,,,
-1,e13,e4,e9,,,,,,,,,,,
-1,e11,e23,e19,e10,e7,e21,e22,e24,e18,e14,e16,e8,,
-1,-1,e11,e17,e4,e10,e13,e20,e1,e5,e15,e3,e2,e8,
e12,e10,,,,,,,,,,,,,
-1,e1,,,,,,,,,,,,,
e10,,,,,,,,,,,,,,
e13,,,,,,,,,,,,,,
e15,e6,e13,e5,e14,,,,,,,,,,
-1,e8,e20,e4,e9,,,,,,,,,,
-1,-1,e24,e20,e17,e2,,,,,,,,,
e17,e16,,,,,,,,,,,,,
-1,e12,,,,,,,,,,,,,
-1,-1,e6,e15,e18,e4,e7,e8,,,,,,,
-1,-1,e5,,,,,,,,,,,,
e11,-1,e16,e22,e23,e13,e9,e10,e20,e2,,,,,
-1,e9,e14,,,,,,,,,,,,
-1,-1,-1,e12,e11,e19,e14,e9,e18,e24,e8,,,,
-1,e19,-1,e16,e21,e1,e6,,,,,,,,
-1,-1,-1,e24,e3,,,,,,,,,,
-1,-1,-1,e21,e15,e20,e5,e17,e10,e6,,,,,
e6,,,,,,,,,,,,,,
e2,,,,,,,,,,,,,,
-1,-1,-1,e23,e22,e17,e2,,,,,,,,
-1,e3,,,,,,,,,,,,,
-1,-1,e3,e18,e24,e6,,,,,,,,,
-1,-1,-1,-1,e7,e21,e8,e15,,,,,,,
-1,-1,-1,-1,e19,e23,e22,e7,e14,e9,e5,e6,e16,e2,e8
-1,-1,e8,,,,,,,,,,,,
e3,-1,e2,e10,,,,,,,,,,,
e18,,,,,,,,,,,,,,
-1,-1,-1,-1,e16,e22,e12,e13,e23,e14,e9,e2,,,
-1,-1,-1,-1,e20,e8,,,,,,,,,
-1,-1,-1,-1,e12,e11,e17,e3,e2,,,,,,
e14,,,,,,,,,,,,,,
e20,,,,,,,,,,,,,,
-1,-1,e9,-1,e5,,,,,,,,,,
-1,-1,-1,-1,-1,e14,,,,,,,,,
-1,-1,-1,e7,,,,,,,,,,,
-1,-1,-1,-1,-1,e18,e15,,,,,,,,
e8,,,,,,,,,,,,,,
-1,-1,e15,-1,-1,e12,e19,e23,e9,e8,,,,,
-1,-1,-1,e3,,,,,,,,,,,
e16,-1,e17,,,,,,,,,,,,
-1,e17,,,,,,,,,,,,,
-1,-1,-1,e8,,,,,,,,,,,
-1,e14,e18,-1,-1,e24,e10,,,,,,,,
-1,-1,-1,-1,-1,-1,e11,e2,,,,,,,
-1,-1,-1,-1,-1,-1,e1,e21,e3,e20,e2,,,,
-1,e7,,,,,,,,,,,,,
-1,-1,-1,e2,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,e16,e1,e8,,,,,,
-1,-1,-1,e14,,,,,,,,,,,
-1,-1,e10,,,,,,,,,,,,
-1,-1,-1,-1,e2,,,,,,,,,,
e21,e22,,,,,,,,,,,,,
-1,-1,e19,,,,,,,,,,,,
-1,e15,,,,,,,,,,,,,
-1,-1,-1,-1,-1,e5,,,,,,,,,
e5,-1,-1,-1,-1,e15,,,,,,,,,
-1,-1,-1,-1,-1,-1,e24,e5,e6,,,,,,
-1,-1,-1,-1,e8,,,,,,,,,,
e19,,,,,,,,,,,,,,
e9,e23,-1,e6,,,,,,,,,,,
e24,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,-1,e20,e16,e15,,,,,,
